id,fecha,temperatura_abrigo_150cm,temperatura_abrigo_150cm_maxima,temperatura_abrigo_150cm_minima,temperatura_intemperie_5cm_minima,temperatura_intemperie_50cm_minima,temperatura_suelo_5cm_media,temperatura_suelo_10cm_media,temperatura_inte_5cm,temperatura_intemperie_150cm_minima,humedad_suelo,precipitacion_pluviometrica,granizo,nieve,heliofania_efectiva,heliofania_relativa,tesion_vapor_media,humedad_media,humedad_media_8_14_20,rocio_medio,duracion_follaje_mojado,velocidad_viento_200cm_media,direccion_viento_200cm,velocidad_viento_1000cm_media,direccion_viento_1000cm,velocidad_viento_maxima,presion_media,radiacion_global,radiacion_neta,evaporacion_tanque,evapotranspiracion_potencial,profundidad_napa,horas_frio,unidad_frio
NH0437,1970-08-01,23.3,31.2,15.4,14.2,,,,,,,0,0,0,9.3,87,21.1,,70,18.4,,12.8,,16,,,,14.8,,,3.1,,0,
NH0437,1970-08-02,26.55,32.1,21,18.8,,,,,,,0,0,0,9.3,87,20.8,,66,18.1,,7.2,,9,,,,14.9,,,3.4,,0,
NH0437,1970-08-03,17.35,22.9,11.8,14.1,,,,,,,31,0,0,0,0,14.8,,94,12.8,,14.4,,18,,,,4.1,,,2,,0,
NH0437,1970-08-04,11.05,11.9,10.2,10.8,,,,,,,39.5,0,0,0,0,12.4,,95,10.1,,20,,25,,,,4.1,,,0.9,,0,
NH0437,1970-08-05,11.1,12.6,9.6,9.7,,,,,,,0,0,0,0.2,2,13.3,,97,11.2,,4.8,,6,,,,4.4,,,0.6,,0,
NH0437,1970-08-06,13.55,15.1,12,12.6,,,,,,,3.4,0,0,0,0,15.2,,97,13.2,,8.8,,11,,,,4.2,,,0.7,,0,
NH0437,1970-08-07,10.85,14.9,6.8,5.6,,,,,,,0,0,0,9.2,85,8.7,,72,5,,15.2,,19,,,,15.2,,,2.3,,0.5925921,
NH0437,1970-08-08,7.75,13.7,1.8,-3.6,,,,,,,0,0,0,9.8,90,7,,69,1.9,,5.6,,7,,,,16,,,1.5,,10.4874,
NH0437,1970-08-09,8.2,15.1,1.3,-3.7,,,,,,,0,0,0,9.8,90,8.5,,77,4.6,,4.8,,6,,,,16.1,,,1.3,,9.913042,
NH0437,1970-08-10,10.25,18.4,2.1,-0.1,,,,,,,0,0,0,9.6,88,9.5,,70,6.2,,12.8,,16,,,,16,,,1.9,,7.214725,
NH0437,1970-08-11,15.45,23.6,7.3,4.6,,,,,,,0,0,0,9.8,90,11.6,,66,9.2,,12,,15,,,,16.3,,,2.6,,0,
