id,nombre,tipo,localidad,provincia,lat,lon,altura,ubicacion,desde,hasta
A872999,Instituto de Clima y Agua,Nimbus THP,Hurlingham,Buenos Aires,-90,0,22,Jardin Botanico Ragonese INTA,2000-01-04T00:00:00Z[UTC],2024-05-23T00:00:00Z[UTC]
A872834,Lima - EEA San Pedro,Nimbus THP,Lima,Buenos Aires,-34.08,-59.21,28,Ruta 9 - Km 100 - Lima,2010-08-25T00:00:00Z[UTC],2024-03-23T00:00:00Z[UTC]
A872823,Anguil -EEA Anguil,Nimbus THP,Anguil,La Pampa,-36.54,-63.99,165,Ruta Nacional Nº 5 Km. 580. CP: 6326,2010-09-13T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872822,Huinca Renanco - EEA Anguil,Nimbus THP,Huinca Renanco,Córdoba,-34.77,-64.37,189,Ruta Nac. Nº35 Km.535 CP: 6270,2010-09-06T00:00:00Z[UTC],2022-11-02T00:00:00Z[UTC]
A872821,Gral San Martin - EEA Anguil,Nimbus THP,General San Martin,La Pampa,-38,-63.52,177.899993896484,Ruta Nac. Nº35 Km. 110. CP: 8206,2010-09-10T00:00:00Z[UTC],2022-06-15T00:00:00Z[UTC]
A872819,Miramar - EEA Balcarce,Nimbus THP,Miramar,Buenos Aires,-38.15,-57.99,12,"Ruta Nº 77, km.20. CP:7607 Gral Alvarado",2010-11-11T00:00:00Z[UTC],2024-02-01T00:00:00Z[UTC]
A872808,La Dulce - EEA Balcarce,Nimbus THP,Necochea,Buenos Aires,-38.34,-59.01,72,Ruta Provincial 86 km 36. Necochea,2010-11-12T00:00:00Z[UTC],2024-04-22T00:00:00Z[UTC]
A872816,Coronel Suarez - EEA Bordenave,Nimbus THP,Coronel Suarez,Buenos Aires,-37.29,-62.04,237,"Ruta 85, km 221. Cnel. Suarez",2010-11-25T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872825,Tornquist - EEA Bordenave,Nimbus THP,Tornquist,Buenos Aires,-38.12,-62.24,280,Acc. Tornquist a Ruta Nac. 33,2010-11-24T00:00:00Z[UTC],2024-03-15T00:00:00Z[UTC]
A872812,Sachayoj - EEA E Santiago,Nimbus THP,Sachayoj,Santiago del Estero,-26.46,-61.81,197,-,2010-12-27T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872811,Bandera - EEA E Santiago,Nimbus THP,Belgrano,Santiago del Estero,-28.89,-62.27,98,"",2010-12-14T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872813,Jumial Grande - EEA E Santiago,Nimbus THP,Jumial Grande,Santiago del Estero,-27.43,-63.36,145,"",2011-05-02T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
00000A4B,INTA - 9 de Julio (Imetos),Imetos,9 de Julio,Buenos Aires,-35.46,-60.95,79,"9 de Julio, Bs As",2010-12-21T00:00:00Z[UTC],2013-06-28T00:00:00Z[UTC]
00000A4D,INTA - Parana,Imetos,Paraná,Entre Rios,-31.86,-60.53,116.5,Paraná,2010-12-18T00:00:00Z[UTC],2016-03-07T00:00:00Z[UTC]
00000A4E,INTA - San Gustavo,Imetos,San Gustavo,Entre Rios,-30.73,-59.35,76.5,San Gustavo,2010-12-17T00:00:00Z[UTC],2016-09-06T00:00:00Z[UTC]
00000A4F,INTA - Alpachiri (Imetos),Imetos,Guatrache,La Pampa,-37.37,-63.77,145,"Depto de Guatraché, Alpachiri",2010-12-17T00:00:00Z[UTC],2013-05-04T00:00:00Z[UTC]
00000A50,INTA - Victorica,Imetos,Loventue,La Pampa,-36.22,-65.43,278,"Depto de Loventué, Victorica",2010-12-17T00:00:00Z[UTC],2016-03-07T00:00:00Z[UTC]
00000A51,INTA - Villa Elisa,Imetos,Villa Elisa,Entre Rios,-32.17,-58.4,92.5,"Depto de Colón, Villa Elisa",2010-12-17T00:00:00Z[UTC],2016-01-26T00:00:00Z[UTC]
00000A52,INTA - General Galarza,Imetos,General Galarza,Entre Rios,-32.72,-59.39,70.5,"Depto de Gualeguay, Gral. Galarza",2010-12-21T00:00:00Z[UTC],2015-12-28T00:00:00Z[UTC]
00000A53,INTA - Intendente Alvear,Imetos,Intendente Alvear,La Pampa,-35.24,-63.59,149,"Depto de Chapaleufú, Int. Alvear",2010-12-17T00:00:00Z[UTC],2013-06-10T00:00:00Z[UTC]
00000A55,INTA - General Acha,Imetos,General Acha,La Pampa,-37.38,-64.6,252,Depto de Utracan,2010-12-20T00:00:00Z[UTC],2018-12-31T00:00:00Z[UTC]
00000A56,INTA - Delta,Imetos,Campana,Buenos Aires,-34.17,-58.86,1,Depto de Campana,2010-12-18T00:00:00Z[UTC],2018-12-31T00:00:00Z[UTC]
00000A58,INTA - Pergamino,Imetos,Pergamino,Buenos Aires,-33.94,-60.58,56,Depto de pergamino,2010-12-17T00:00:00Z[UTC],2016-03-07T00:00:00Z[UTC]
A872846,Gral. Roca - EEA Alto Valle,Nimbus THP,General Roca,Río Negro,-39.03,-67.74,242,Rta. Nac. 22 km1190 (Allen) CP: 8330,2011-05-27T00:00:00Z[UTC],2024-06-25T00:00:00Z[UTC]
A872853,Gualjaina - EEA Esquel,Nimbus THP,Gualjaina,Chubut,-42.73,-70.5,501.399993896484,Chacra Tertulia de Gualjaina,2011-05-30T00:00:00Z[UTC],2024-04-11T00:00:00Z[UTC]
A872861,Viamonte - ICyA CIRN,Nimbus THP,Viamonte,Córdoba,-33.83,-63.02,132,Z Rural Gral Viamonte. CP:2651 (a 8 km de ruta 3),2012-05-23T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872850,P Golondrinas - EEA Bariloche,Nimbus THP,Lago Puelo,Chubut,-41.96,-71.52,340,"Ruta  40km 1911, Pje Las Golondrinas",2011-10-18T00:00:00Z[UTC],2021-12-10T00:00:00Z[UTC]
A872857,Sarmiento - EEA Chubut,Nimbus THP,Sarmiento,Chubut,-45.6,-69.03,267,"Ruta Nac. Nº 26 - Chacra Nº 19, CP: 9020",2011-09-16T00:00:00Z[UTC],2024-05-23T00:00:00Z[UTC]
0000030F,INTA - La Para,Imetos,La Para,Córdoba,-31.01,-63.02,101.5,-,2005-03-08T00:00:00Z[UTC],2016-01-12T00:00:00Z[UTC]
A872876,Las Tunas - EEA Paraná,Nimbus THP,Las Tunas,Entre Rios,-31.87,-59.68,83,Paraje Las Tunas. Ruta Nac. 18. Km 85.,2011-10-12T00:00:00Z[UTC],2023-07-10T00:00:00Z[UTC]
00000324,INTA - Hernando,Imetos,Hernando,Córdoba,-32.37,-63.8,292,-,2005-03-08T00:00:00Z[UTC],2016-03-07T00:00:00Z[UTC]
A872863,San Jorge - EEA Rafaela,Nimbus THP,San Jorge,Santa Fe,-31.95,-61.83,2,"Ruta 13, 10 km al S de San Jorge",2013-07-22T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872862,Rafaela - EEA Rafaela,Nimbus THP,Rafaela,Santa Fe,-31.2,-61.5,9977,"Ruta 34 Km 227,  CP 2300",2011-11-18T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872864,Ceres - EEA Rafaela,Nimbus THP,Ceres,Santa Fe,-29.87,-61.96,2,"Ruta 34 km 389, Ceres",2013-06-06T00:00:00Z[UTC],2024-06-15T00:00:00Z[UTC]
A872865,Reconquista - EEA Reconquista,Nimbus THP,Reconquista,Santa Fe,-29.26,-59.71,75,"Ruta 11 Km 773, CP:3560",2011-11-11T00:00:00Z[UTC],2024-01-05T00:00:00Z[UTC]
A872867,Calchaqui - EEA Reconquista,Nimbus THP,Calchaqui,Santa Fe,-29.88,-60.24,70,"Est. Los Laureles, 5 km al este de Calchaquí",2011-11-16T00:00:00Z[UTC],2024-05-03T00:00:00Z[UTC]
A872847,Rio Colorado - EEA Alto Valle,Nimbus THP,Río Colorado,Río Negro,-39.02,-64.08,79,Moreno 695. CP: 8138,2012-06-05T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
0000089A,INTA - Río Gallegos,Imetos,Río Gallegos,Santa Cruz,-51.63,-69.23,13,Mahatma Gandhi 1322 - Río Gallegos,2005-03-08T00:00:00Z[UTC],2016-12-31T00:00:00Z[UTC]
A872860,Esperanza - EEA Santa Cruz,Nimbus THP,Esperanza,Santa Cruz,-51.1,-70.5,541,"Ruta prov. Nº 5, Esperanza",2011-11-17T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
D0035,INTA - Naineck,Davis,Formosa,Formosa,-25.2,-58.12,74,Laguna Naineck - Formosa - Argentina,,
D0033,INTA - Los Antiguos,Davis,Los Antiguos,Santa Cruz,-46.53,-71.63,254,Los Antiguos - Santa Cruz - Argentina,2012-04-16T00:00:00Z[UTC],2020-04-04T00:00:00Z[UTC]
D0018,INTA - Calafate,Davis,El Calafate,Santa Cruz,-50.34,-72.28,185,El Calafate- Santa Cruz - Argentina,2012-04-16T00:00:00Z[UTC],2019-09-02T00:00:00Z[UTC]
D0046,INTA - San Patricio,Davis,San Patricio del Chañar,Neuquen,-38.57,-68.36,334,San Patricio del Chañar - Neuquén - ARG,2012-03-28T00:00:00Z[UTC],2013-07-17T00:00:00Z[UTC]
D0049,INTA - Villa Regina,Davis,Villa Regina,Río Negro,-39.13,-67.11,158,Villa Regina - Río Negro - ARG,2012-04-16T00:00:00Z[UTC],2015-09-16T00:00:00Z[UTC]
